Ball,Ball Number,Summary,Description
202,32.6,"Phillips to Shreyas Iyer,1 run","Fullish on fifth, 91ks, open-faced push takes it to backward point"
203,33.1,"Michael Bracewell to Shreyas Iyer,1 run","Length on middle, flicked to long leg. Aaron Finch, on air, says the pressure seems to be waning off India"
204,33.2,"Michael Bracewell to Axar Patel,1 run","Fullish on fourth, driven through cover"
205,33.3,"Michael Bracewell to Shreyas Iyer,1 run","Good single to the left of cover point. Tossed-up fullish ball at the stumps, Shreyas' body was lunging forward early but he took the power off the full-faced block. It opened up to allow the ball trickle off side"
206,33.4,"Michael Bracewell to Axar Patel,no run","Drives the full ball back to the bowler. Stopped in the follow-through, lots of revs on that"
207,33.5,"Michael Bracewell to Axar Patel,1 run",Cuts the length ball outside off to deep point
208,33.6,"Michael Bracewell to Shreyas Iyer,1 run","Shortish ball on fifth spins back, Shreyas is able to cut it nicely. Finds sweeper cover"
209,34.1,"Phillips to Shreyas Iyer,no run",Beaten on the cut. Loopy shortish offbreak landed wide outside off and spun in a touch. Not much bounce or pace to work with
210,34.2,"Phillips to Shreyas Iyer,no run",Dances down but has to slice it as the ball was shortish. Gets it to short third
211,34.3,"Phillips to Shreyas Iyer,1 run","Length on off, punched to long-on off the back foot"
212,34.4,"Phillips to Axar Patel,1 run",Stop the press. Phillips misfields. Just a single allowed though. He moved to the left in follow-through and slid low. Was a length ball at the stumps that was punched with the full-faced bat
213,34.5,"Phillips to Shreyas Iyer,no run",Tucks it off the back foot through midwicket
214,34.6,"Phillips to Shreyas Iyer,no run","Shreyas wanted the single, Axar sends him back... like he did the second ball of the over. This was a length ball on fourth that was defended to the keeper's left"
215,35.1,"O'Rourke to Axar Patel,no run","Good length ball angling into Axar on middle and leg, he mistimes to mid-on"
216,35.2,"O'Rourke to Axar Patel,1 run","Back of a length ball on middle stump, he stands tall and bunts to mid-on and sets off"
217,35.3,"O'Rourke to Shreyas Iyer,1 run","Good length ball outside off, he carves it to deep point"
218,35.4,"O'Rourke to Axar Patel,no run",On a length angling into Axar on middle. He whisks this to midwicket. Hit that fairly firmly but couldn't find the gap
219,35.5,"O'Rourke to Axar Patel,1 run","Banged in short on middle, he splices to deep midwicket for a run"
220,35.6,"O'Rourke to Shreyas Iyer,2 runs","Banged in short as expected outside off stump, he swivels and pulls to the right of deep midwicket for a couple of runs to end the over"
221,36.1,"Phillips to Axar Patel,1 run","Flatter on middle and leg, he chips this aerially to long-on for a run"
222,36.2,"Phillips to Shreyas Iyer,no run","Goes flatter and drags his length on off, he pushes back to the bowler"
223,36.3,"Phillips to Shreyas Iyer,SIX runs","WHACKED!Floated outside off stump. He bends down on one knee, gets under it and absolutely smokes this over deep midwicket for a 109m six. That is huge!"
224,36.4,"Phillips to Shreyas Iyer,1 run","DROPPED by Jamieson at long-on!That is such a huge moment in the game. Floated on off, he charges down, gets too close to the ball and hits this straight to Jamieson who has dropped an absolute sitter"
225,36.5,"Phillips to Axar Patel,1 run","Flatter on middle and leg, worked to square leg for a run"
226,36.6,"Phillips to Shreyas Iyer,1 run","Floats this on off stump, he prods forward and eases past Phillips down to long-on"
227,37.1,"O'Rourke to Shreyas Iyer,1 run","Back of a length ball outside ff, he steers this down to deep third"
